Kantons_Nr,Kanton_d,Kanton_f,Kanton_i,Ja_Stimmen_In_Prozent_Kanton,pourc_oui,diff
1,Zürich,Zurich,Zurigo,46.6,51.8,-5.2
2,Bern,Berne,Berna,49.6,60.8,-11.2
3,Luzern,Lucerne,Lucerna,50.5,61.2,-10.7
4,Uri,Uri,Uri,58.8,63.8,-5
5,Schwyz,Schwyz,Svitto,60.2,66.3,-6.1
6,Obwalden,Obwald,Obvaldo,56.2,62.4,-6.2
7,Nidwalden,Nidwald,Nidvaldo,56.1,62.8,-6.7
8,Glarus,Glaris,Glarona,53.5,68.8,-15.3
9,Zug,Zoug,Zugo,50.4,56.7,-6.3
10,Freiburg,Fribourg,Friburgo,55.9,55.9,0
11,Solothurn,Soleure,Soletta,52.6,64,-11.4
12,Basel-Stadt,Bâle-Ville,Basilea Città,40.6,48.4,-7.8
13,Basel-Landschaft,Bâle-Campagne,Basilea Campagna,53.4,59.9,-6.5
14,Schaffhausen,Schaffhouse,Sciaffusa,52.2,63.5,-11.3
15,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzello Esterno,49.1,63.7,-14.6
16,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzello Interno,58.7,71.4,-12.7
17,St. Gallen,Saint-Gall,San Gallo,53.1,65.9,-12.8
18,Graubünden,Grisons,Grigioni,49.6,58.6,-9
19,Aargau,Argovie,Argovia,53.6,64,-10.4
20,Thurgau,Thurgovie,Turgovia,53.9,67.7,-13.8
21,Tessin,Tessin,Ticino,60.5,68.3,-7.8
22,Waadt,Vaud,Vaud,50.9,46.9,4
23,Wallis,Valais,Vallese,58.3,58,0.3
24,Neuenburg,Neuchâtel,Neuchâtel,52,49.3,2.7
25,Genf,Genève,Ginevra,48.7,40.3,8.4
26,Jura,Jura,Giura,60.7,51.2,9.5
